,leftWrist
0,134.28418348735408
1,131.73873723249028
2,131.56139804231518
3,134.40070601288912
4,137.4859595391537
5,138.58109648589493
6,142.5248890442607
7,145.21524273467898
8,164.9983090649319
9,175.5810546875
10,289.68453611381324
11,333.9288971303502
12,339.8822425218872
13,346.216751276751
14,366.664108098249
15,393.0708140807393
16,411.08497233706225
17,405.45263861867704
18,410.71935037694556
19,407.30274957441634
20,416.1104693579767
21,403.45934916099225
22,361.8343795598249
23,315.77239633998056
24,281.5555842655642
25,184.6567971789883
26,161.9844547969358
27,153.2643026507782
28,141.6539054900292
