Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
,"(344, 177)","(328, 177)",,,"(360, 177)","(344, 229)",,"(297, 281)",,,"(344, 260)",,,"(344, 198)"
"(532, 83)","(532, 125)","(500, 146)","(485, 177)","(516, 187)","(563, 146)","(579, 177)","(547, 187)","(516, 229)","(500, 292)","(500, 344)","(547, 229)","(547, 281)","(563, 344)","(532, 187)"
"(532, 83)","(532, 125)","(500, 146)","(485, 177)","(500, 187)","(563, 146)","(579, 177)","(547, 187)","(516, 229)","(500, 292)","(500, 344)","(547, 229)","(547, 281)","(563, 344)","(532, 187)"
"(532, 83)","(532, 125)","(500, 146)","(485, 177)","(500, 187)","(563, 146)","(579, 177)","(547, 187)","(516, 229)","(500, 281)","(500, 344)","(547, 229)","(547, 281)","(563, 344)","(532, 187)"
"(532, 83)","(532, 125)","(500, 146)","(485, 177)","(500, 187)","(563, 146)","(579, 177)","(547, 187)","(516, 229)","(500, 281)","(500, 344)","(547, 229)","(547, 281)","(563, 344)","(532, 187)"
"(532, 83)","(532, 125)","(500, 146)","(485, 177)","(500, 177)","(563, 146)","(579, 187)","(547, 177)","(516, 229)","(500, 292)","(500, 344)","(547, 229)","(563, 281)","(563, 344)","(532, 187)"
"(532, 83)","(532, 125)","(500, 146)","(485, 177)","(516, 177)","(563, 146)","(579, 187)","(547, 177)","(516, 229)","(500, 292)","(500, 344)","(547, 229)","(563, 281)","(563, 344)","(532, 187)"
"(532, 83)","(532, 135)","(500, 146)","(485, 187)","(516, 187)","(563, 146)","(579, 187)","(547, 187)","(516, 240)","(500, 292)","(500, 344)","(547, 229)","(563, 292)","(563, 344)","(532, 187)"
"(532, 93)","(532, 135)","(500, 156)","(485, 187)","(516, 177)","(563, 146)","(579, 187)","(547, 187)","(516, 229)","(500, 292)","(500, 344)","(547, 229)","(563, 292)","(563, 344)","(532, 198)"
"(532, 93)","(532, 135)","(500, 156)","(485, 198)","(516, 187)","(563, 156)","(579, 198)","(547, 187)","(516, 240)","(500, 292)","(500, 344)","(547, 240)","(563, 292)","(563, 344)","(532, 198)"
"(516, 93)","(532, 146)","(500, 166)","(485, 198)","(516, 187)","(563, 156)","(579, 198)","(532, 187)","(516, 240)","(500, 292)","(500, 344)","(547, 240)","(563, 292)","(563, 344)","(532, 198)"
"(532, 104)","(532, 156)","(500, 166)","(485, 208)","(516, 198)","(563, 177)","(579, 208)","(547, 198)","(516, 240)","(485, 292)","(500, 344)","(547, 240)","(563, 292)","(563, 344)","(532, 208)"
"(532, 114)","(532, 156)","(500, 177)","(485, 219)","(516, 198)","(563, 177)","(563, 208)","(532, 198)","(516, 240)","(485, 292)","(500, 344)","(547, 240)","(563, 292)","(563, 344)","(532, 208)"
"(532, 135)","(532, 177)","(500, 187)","(485, 229)","(516, 219)","(563, 187)","(563, 229)","(532, 219)","(516, 250)","(485, 292)","(500, 344)","(547, 250)","(579, 292)","(563, 344)","(532, 219)"
"(532, 146)","(532, 187)","(500, 198)","(485, 229)","(516, 219)","(563, 198)","(563, 229)","(532, 219)","(500, 260)","(485, 302)","(500, 344)","(547, 260)","(579, 292)","(563, 344)","(532, 229)"
"(532, 166)","(532, 198)","(500, 208)","(485, 240)","(516, 229)","(563, 208)","(563, 240)","(532, 229)","(516, 260)","(485, 302)","(500, 344)","(547, 260)","(579, 292)","(563, 344)","(532, 240)"
"(532, 166)","(532, 208)","(500, 208)","(485, 250)","(516, 240)","(563, 219)","(563, 250)","(532, 229)","(500, 271)","(485, 302)","(500, 344)","(547, 271)","(579, 292)","(563, 344)","(532, 240)"
"(532, 166)","(532, 208)","(500, 219)","(485, 250)","(516, 240)","(563, 219)","(563, 250)","(532, 240)","(516, 271)","(485, 302)","(500, 344)","(547, 271)","(579, 292)","(563, 344)","(532, 240)"
